,Fold,LSTM_AUC,BiLSTM_AUC,AUC_Difference
count,10.0,10.0,10.0,10.0
mean,5.5,0.9836850534516568,0.9905119907729422,0.00682693732128498
std,3.0276503540974917,0.0024082736606090244,0.0012683701127714703,0.0019967100482689935
min,1.0,0.9799076171388588,0.98838196944551,0.0028736722681432
25%,3.25,0.9820475038443446,0.9898979222750613,0.0060806581031103
50%,5.5,0.9833426441906528,0.9905211705782132,0.0070896142378542495
75%,7.75,0.9856282935336996,0.9912136984428739,0.007360388031735025
max,10.0,0.987006578882392,0.9924595491373736,0.0106999276591204
